Sector,entities,obs
Restaurants & Bars (NEC),201,3417
Hotels & Motels,168,2856
"Hotels, Motels & Cruise Lines (NEC)",134,2278
Quick Service Restaurants,88,1496
Casinos & Gaming (NEC),76,1292
Travel Agents,64,1088
Leisure & Recreation (NEC),58,986
Resort Operators,46,782
Commercial Food Services,40,680
Casinos,27,459
Amusement Parks and Zoos,24,408
Online Services (NEC),22,374
"Gyms, Fitness and Spa Centers",21,357
"Real Estate Rental, Development & Operations (NEC)",19,323
Cafés,13,221
Lottery Operators,12,204
"Pubs, Bars & Night Clubs",12,204
Internet Gaming,11,187
Software (NEC),9,153
Guided Tour Operators,8,136
Golf Courses,8,136
Adventure Sports Facilities & Ski Resorts,8,136
Food Processing (NEC),7,119
IT Services & Consulting (NEC),7,119
Horse & Dog Race Tracks,7,119
Gambling & Gaming Machine Manufacturers,7,119
Food Retail & Distribution (NEC),6,102
Cruise Lines,5,85
Gaming Machine Operators,5,85
Investment Management & Fund Operators (NEC),5,85
Real Estate Services (NEC),5,85
Luxury Hotels,4,68
Marinas,4,68
Corporate Financial Services (NEC),4,68
Consumer Lending (NEC),3,51
Brewers (NEC),3,51
Business Support Services (NEC),3,51
Food Wholesale,3,51
"Passenger Transportation, Ground & Sea (NEC)",3,51
Shell Companies,2,34
Construction & Engineering (NEC),2,34
E-commerce & Auction Services,2,34
Fishing & Farming Wholesale,2,34
Enterprise Software,2,34
Commercial Buildings,2,34
Investment Holding Companies (NEC),2,34
Advertising Agency,2,34
Blockchain & Cryptocurrency (NEC),2,34
Personal Services (NEC),2,34
Investment Banking & Brokerage Services (NEC),2,34
Non-Alcoholic Beverages (NEC),2,34
Financial & Commodity Market Operators & Service Providers (NEC),1,17
Entertainment Production (NEC),1,17
Electronic Equipment & Parts (NEC),1,17
Drug Retailers (NEC),1,17
Electric Utilities (NEC),1,17
Data Processing Services,1,17
Display Screens,1,17
Campsite Operators,1,17
Digital Publishing,1,17
Diversified Investment Services,1,17
Diversified Mining,1,17
Commuting Services,1,17
Courier Services,1,17
Coffee & Tea,1,17
Commuter Ferry Operators,1,17
Application Software,1,17
Airport Operators & Services (NEC),1,17
Book & Magazine Retailers,1,17
Banquet Halls & Catering,1,17
Building Contractors,1,17
Airline Catering Services,1,17
"Auto Vehicles, Parts & Service Retailers (NEC)",1,17
Art & Craftwork Retailers,1,17
Business to Business,1,17
Charter & Private Air Services,1,17
Consumer Leasing,1,17
Consumer Goods Conglomerates,1,17
Homebuilding (NEC),1,17
Hydroelectric & Tidal Utilities,1,17
Medical Supplies,1,17
"Medical Equipment, Supplies & Distribution (NEC)",1,17
Meat Processing,1,17
Marketing Consulting Services,1,17
Marine Passenger Transportation,1,17
Management Consulting Services,1,17
Internet & Mail Order Department Stores,1,17
Investment Management,1,17
"Hospitals, Clinics & Primary Care Services",1,17
Gold Refining,1,17
Frozen Food Manufacturing,1,17
"Gift, Novelty & Souvenir Stores",1,17
Health Food Stores,1,17
Miscellaneous Specialty Retailers (NEC),1,17
Office Real Estate Rental & Development,1,17
Metal Merchant Wholesale,1,17
Ready-Made Meals,1,17
Rail Services,1,17
Phones & Handheld Devices (NEC),1,17
Plays & Concert Production,1,17
New Car Dealers,1,17
Mobile Application Software,1,17
Recreational Products (NEC),1,17
Retail Real Estate Rental & Development,1,17
Search Engines,1,17
Sales Promotions & Events Management,1,17
Theatres & Performing Arts,1,17
Textiles & Leather Goods (NEC),1,17
Tire & Tube Manufacturers,1,17
Toys & Children's Products (NEC),1,17
Used Merchandise Stores,1,17
Vegan & Vegetarian Food Manufacturing,1,17
