Sector,ESG_Score,Environmental_Score,Social_Score,Governance_Score
Cruise Lines,61.95,62.8,65.65,56.48
IT Services & Consulting (NEC),61.11,53.65,64.55,60.38
"Hotels, Motels & Cruise Lines (NEC)",54.01,59.44,54.65,51.83
Hotels & Motels,50.31,56.88,52.42,47.51
Restaurants & Bars (NEC),49.03,48.21,53.23,47.76
E-commerce & Auction Services,47.41,54.37,49.84,43.25
Commercial Food Services,47.19,34.81,51.75,56.44
Quick Service Restaurants,46.33,42.28,51.22,45.72
Online Services (NEC),44.85,23.92,51.08,46.71
Adventure Sports Facilities & Ski Resorts,44.09,53.3,27.66,60.42
Casinos,44.07,51.99,45.9,42.34
Casinos & Gaming (NEC),43.19,41.5,44.12,48.6
Enterprise Software,41.88,22.64,49.98,40.69
Leisure & Recreation (NEC),36.54,47.31,33.71,42.29
"Pubs, Bars & Night Clubs",35.76,39.76,42.53,29.84
Amusement Parks and Zoos,34.63,31.38,32.61,44.48
Resort Operators,34.61,43.91,31.45,35.91
Search Engines,34.6,23.29,38.84,37.86
"Gyms, Fitness and Spa Centers",30.8,33.88,35.83,27.88
Plays & Concert Production,29.63,1.61,10.75,64.19
Travel Agents,28.68,28.5,27.9,36.15
Internet Gaming,27.99,3.11,26.18,37.63
Business to Business,25.45,25.58,25.03,25.6
Gambling & Gaming Machine Manufacturers,24.82,20.71,30.14,31.97
Commuter Ferry Operators,24.68,31.02,26.93,14.47
Food Processing (NEC),21.14,6.46,17.96,49.17
Gaming Machine Operators,20.24,,19.39,39.74
Cafés,18.89,2.8,26.96,21.28
Software (NEC),18.83,1.98,23.15,20.59
Golf Courses,15.06,12.77,15.7,20.75
Investment Management & Fund Operators (NEC),14.85,16.56,14.93,18.75
Food Retail & Distribution (NEC),14.14,2.93,13.76,24.88
Construction & Engineering (NEC),10.78,2.92,16.46,15.7
Lottery Operators,9.15,,13.61,10.7
Brewers (NEC),8.14,8.01,12.02,1.16
