sample,lag,spec,variable,vif,mean_vif,max_vif
full,0,ESG,ESG_Score_lag,1.486735470088828,1.3206250113978322,1.486735470088828
full,0,ESG,Employees,1.3819570133864356,1.3206250113978322,1.486735470088828
full,0,ESG,Debt,1.093182550718233,1.3206250113978322,1.486735470088828
full,1,ESG,ESG_Score_lag,1.5040300621609894,1.3319357148769082,1.5040300621609894
full,1,ESG,Employees,1.3911680107174846,1.3319357148769082,1.5040300621609894
full,1,ESG,Debt,1.1006090717522508,1.3319357148769082,1.5040300621609894
full,2,ESG,ESG_Score_lag,1.5348126862021447,1.3524523720221087,1.5348126862021447
full,2,ESG,Employees,1.4091970681545134,1.3524523720221087,1.5348126862021447
full,2,ESG,Debt,1.113347361709668,1.3524523720221087,1.5348126862021447
full,3,ESG,ESG_Score_lag,1.5754250785829098,1.3798919852437157,1.5754250785829098
full,3,ESG,Employees,1.436974076464267,1.3798919852437157,1.5754250785829098
full,3,ESG,Debt,1.1272768006839702,1.3798919852437157,1.5754250785829098
hotels,0,ESG,ESG_Score_lag,1.9624210417933268,1.63387970928825,1.9624210417933268
hotels,0,ESG,Employees,1.754446760565702,1.63387970928825,1.9624210417933268
hotels,0,ESG,Debt,1.1847713255057213,1.63387970928825,1.9624210417933268
hotels,1,ESG,ESG_Score_lag,1.9735925087205612,1.640648621560671,1.9735925087205612
hotels,1,ESG,Employees,1.7552175011003994,1.640648621560671,1.9735925087205612
hotels,1,ESG,Debt,1.1931358548610522,1.640648621560671,1.9735925087205612
hotels,2,ESG,ESG_Score_lag,1.9940547598823215,1.6564560590649677,1.9940547598823215
hotels,2,ESG,Employees,1.7939844364221769,1.6564560590649677,1.9940547598823215
hotels,2,ESG,Debt,1.1813289808904046,1.6564560590649677,1.9940547598823215
hotels,3,ESG,ESG_Score_lag,2.0117168182187815,1.6730313168292341,2.0117168182187815
hotels,3,ESG,Employees,1.8373085974230068,1.6730313168292341,2.0117168182187815
hotels,3,ESG,Debt,1.1700685348459146,1.6730313168292341,2.0117168182187815
